premio,empresa,codigo projeto,tipo do premio,premio estudante 1,premio estudante 2,premio estudante 3,premio orientador,premio coorientador,premio escola,premio local de pesquisa,ano
Destaque em Sustentabilidade,Poli Recicla,ENG066,Projeto,0,0,0,0,0,0,0,2016
Prêmio Inovação em Acessibilidade e Inclusão da Pessoa com Deficiência,Secretaria de Estado dos Direitos da Pessoa com Deficiência,ENG078,Projeto,0,0,0,0,0,0,0,2016
Prêmio Inovação em Acessibilidade e Inclusão da Pessoa com Deficiência,Secretaria de Estado dos Direitos da Pessoa com Deficiência,ENG001,Projeto,0,0,0,0,0,0,0,2016
Prêmio Inovação em Acessibilidade e Inclusão da Pessoa com Deficiência,Secretaria de Estado dos Direitos da Pessoa com Deficiência,EXA282,Projeto,0,0,0,0,0,0,0,2016
Prêmio da Disciplina de Telemedicina da Faculdade de Medicina da USP,Faculdade de Medicina da Universidade de São Paulo,BIO204,Participantes,1,0,0,0,0,0,0,2016
Prêmio da Disciplina de Telemedicina da Faculdade de Medicina da USP,Faculdade de Medicina da Universidade de São Paulo,SAU120,Participantes,1,1,0,0,0,0,0,2016
Prêmio da Disciplina de Telemedicina da Faculdade de Medicina da USP,Faculdade de Medicina da Universidade de São Paulo,SAU132,Participantes,1,1,0,0,0,0,0,2016
Prêmio da Disciplina de Telemedicina da Faculdade de Medicina da USP,Faculdade de Medicina da Universidade de São Paulo,BIO222,Participantes,1,0,0,0,0,0,0,2016
Prêmio da Disciplina de Telemedicina da Faculdade de Medicina da USP,Faculdade de Medicina da Universidade de São Paulo,SAU128,Participantes,1,1,1,0,0,0,0,2016
Prêmio da Disciplina de Telemedicina da Faculdade de Medicina da USP,Faculdade de Medicina da Universidade de São Paulo,SAU112,Participantes,1,1,1,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG078,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG001,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA282,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG039,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA293,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG021,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG027,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG015,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG013,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG031,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG008,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG007,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG006,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA278,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG036,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG032,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG026,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),SAU140,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG048,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA276,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA281,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA283,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),BIO196,Projeto,0,0,0,0,0,0,0,2016
Prêmio Associação dos Engenheiros Politécnicos,Associação dos Engenheiros Politécnicos - AEP,ENG078,Projeto,0,0,0,0,0,0,0,2016
Prêmio Associação dos Engenheiros Politécnicos,Associação dos Engenheiros Politécnicos - AEP,ENG038,Projeto,0,0,0,0,0,0,0,2016
Prêmio Associação dos Engenheiros Politécnicos,Associação dos Engenheiros Politécnicos - AEP,ENG069,Projeto,0,0,0,0,0,0,0,2016
Prêmio Associação dos Engenheiros Politécnicos,Associação dos Engenheiros Politécnicos - AEP,ENG022,Projeto,0,0,0,0,0,0,0,2016
Prêmio Agencia USP de Inovação,Agência USP de Inovação,ENG064,Projeto,0,0,0,0,0,0,0,2016
Prêmio Agencia USP de Inovação,Agência USP de Inovação,BIO200,Projeto,0,0,0,0,0,0,0,2016
Prêmio Agencia USP de Inovação,Agência USP de Inovação,ENG060,Projeto,0,0,0,0,0,0,0,2016
Prêmio Agencia USP de Inovação,Agência USP de Inovação,ENG036,Projeto,0,0,0,0,0,0,0,2016
Prêmio INFOMATRIX Brasil,Info Matrix Brasil,SAU114,Projeto,0,0,0,0,0,0,0,2016
Prêmio II Verano Nacional de Investigación para Estudiantes Sobresalientes (VENCES),Info Matrix Brasil,SAU120,Projeto,0,0,0,0,0,0,0,2016
Prêmio II Verano Nacional de Investigación para Estudiantes Sobresalientes (VENCES),Info Matrix Brasil,ENG049,Projeto,0,0,0,0,0,0,0,2016
Prêmio Agencia USP de Inovação,Agência USP de Inovação,BIO220,Projeto,0,0,0,0,0,0,0,2016
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Centro Paula Souza,BIO222,Projeto,0,0,0,0,0,0,0,2016
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Centro Paula Souza,BIO207,Projeto,0,0,0,0,0,0,0,2016
Prêmio Museu Paulista da USP,Museu Paulista,HUM170,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,ENG001,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,SOC083,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,AGR099,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,SAU125,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,HUM178,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,BIO201,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRIC de excelência em iniciação científica,Associação Brasileira de Incentivo à Ciência - ABRIC,EXA292,Projeto,0,0,0,0,0,0,0,2016
Prêmio Instituto 3M,Instituto 3M,ENG069,Projeto,0,0,0,0,0,0,0,2016
Prêmio Instituto 3M,Instituto 3M,AGR110,Projeto,0,0,0,0,0,0,0,2016
Prêmio Instituto 3M,Instituto 3M,ENG010,Projeto,0,0,0,0,0,0,0,2016
Prêmio Revista ECO 21,Revista ECO 21,BIO200,Projeto,0,0,0,0,0,0,0,2016
Prêmio Revista ECO 21,Revista ECO 21,ENG069,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,SOC083,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,HUM150,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,EXA293,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,AGR098,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,ENG010,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,EXA287,Projeto,0,0,0,0,0,0,0,2016
Prêmio Anna Frida Hoffman,PoliGen - Grupo de Estudos de Gênero da Poli-USP,ENG038,Projeto,0,0,0,0,0,0,0,2016
Prêmio Anna Frida Hoffman,PoliGen - Grupo de Estudos de Gênero da Poli-USP,ENG071,Projeto,0,0,0,0,0,0,0,2016
Prêmio Marília Chaves Peixoto,PoliGen - Grupo de Estudos de Gênero da Poli-USP,EXA254,Projeto,0,0,0,0,0,0,0,2016
Prêmio Marília Chaves Peixoto,PoliGen - Grupo de Estudos de Gênero da Poli-USP,EXA255,Projeto,0,0,0,0,0,0,0,2016
Prêmio Museu Paulista da USP,Museu Paulista,SOC086,Projeto,0,0,0,0,0,0,0,2016
Most Outstanding Exhibit in Material Science,ASM Materials Education Foundation,EXA266,Projeto,0,0,0,0,0,0,0,2016
Most Outstanding Exhibit in Material Science,ASM Materials Education Foundation,ENG064,Projeto,0,0,0,0,0,0,0,2016
Menção Honrosa UNESCO,UNESCO,EXA262,Projeto,0,0,0,0,0,0,0,2016
Menção Honrosa UNESCO,UNESCO,HUM186,Projeto,0,0,0,0,0,0,0,2016
Menção Honrosa UNESCO,UNESCO,EXA277,Projeto,0,0,0,0,0,0,0,2016
Outstanding for Behavioral Sciences,American Psychological Association,HUM155,Projeto,0,0,0,0,0,0,0,2016
Student Awards for Geoscience Excellence,Association for Women Geoscientists,HUM150,Participantes,1,1,0,0,0,0,0,2016
Intel Excellence in Computer Science,Intel Excellence in Computer Science,EXA287,Projeto,0,0,0,0,0,0,0,2016
Prêmio Professor Destaque,FEBRACE,HUM146,Participantes,0,0,0,1,0,0,0,2016
Prêmio Excelência em Ciências,Associação de Amigos do Instituto Weizmann do Brasil,SAU116,Projeto,0,0,0,0,0,0,0,2016
Outstanding Achievement for Ability and Creativity in In Vitro Biology,Society for in Vitro Biology,BIO233,Projeto,0,0,0,0,0,0,0,2016
The 2016 Regional Ricoh Sustainable Development Award,RICOH  Americas Corporation,ENG068,Projeto,0,0,0,0,0,0,0,2016
Prêmio INFOMATRIX Brasil,Info Matrix Brasil,HUM145,Projeto,0,0,0,0,0,0,0,2016
"Most Outstanding Exhibit in Computer Science, Engineering, Physics or Chemistry",Yale Science and Engineering Association,EXA263,Projeto,0,0,0,0,0,0,0,2016
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,ENG039,Projeto,0,0,0,0,0,0,0,2016
Outstanding Achievement for Ability and Creativity in In Vitro Biology,Society for in Vitro Biology,BIO234,Projeto,0,0,0,0,0,0,0,2016
The 2016 Regional Ricoh Sustainable Development Award,RICOH  Americas Corporation,SOC081,Projeto,0,0,0,0,0,0,0,2016
The 2016 Regional Ricoh Sustainable Development Award,RICOH  Americas Corporation,HUM153,Projeto,0,0,0,0,0,0,0,2016
ASU Walton Sustainability Solution Initiatives,Arizona State University - Rob and Melani Walton Sustainability Solutions Initiatives,ENG069,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar na Votação Popular,FEBRACE,HUM153,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar na Votação Popular,FEBRACE,ENG048,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar na Votação Popular,FEBRACE,HUM143,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar na Votação Popular,FEBRACE,ENG002,Projeto,0,0,0,0,0,0,0,2016
Prêmio Marinha do Brasil - 3o. Lugar em Mentalidade Marítima,Centro de Coordenação de Estudos da Marinha em São Paulo,ENG069,Projeto,0,0,0,0,0,0,0,2016
Prêmio Marinha do Brasil - 2o. Lugar em Mentalidade Marítima,Centro de Coordenação de Estudos da Marinha em São Paulo,ENG075,Projeto,0,0,0,0,0,0,0,2016
Prêmio Marinha do Brasil - 1o. Lugar em Mentalidade Marítima,Centro de Coordenação de Estudos da Marinha em São Paulo,ENG064,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,EXA244,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,BIO219,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,SAU131,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,AGR108,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,SOC086,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,HUM145,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,ENG049,Projeto,0,0,0,0,0,0,0,2016
Prêmio ABRITEC - MCL (Mostra Científica Latino Americana),ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,ENG049,Projeto,0,0,0,0,0,0,0,2016
Prêmio Defesa Civil do Estado de São Paulo,Defesa Civil do Estado de São Paulo,EXA272,Projeto,0,0,0,0,0,0,0,2016
Prêmio de Incentivo ao Professor FETEC-MS,"Feira de Tecnologias, Engenharias e Ciências - FETEC",HUM152,Participantes,0,0,0,1,0,0,0,2016
Prêmio de Incentivo ao Professor FETEC-MS,"Feira de Tecnologias, Engenharias e Ciências - FETEC",BIO203,Participantes,0,0,0,1,0,0,0,2016
Prêmio de Incentivo ao Professor FETEC-MS,"Feira de Tecnologias, Engenharias e Ciências - FETEC",EXA262,Participantes,0,0,0,1,0,0,0,2016
Prêmio Samsung Internet das Coisas,Samsung,ENG009,Projeto,0,0,0,0,0,0,0,2016
Premio Odebrecht Febrace 2016,Odebrecht,AGR101,Projeto,0,0,0,0,0,0,0,2016
Prêmio Destaque do ano - Curso de Ciências Moleculares/USP,Curso de Ciências Moleculares da Universidade de São Paulo,SAU125,Projeto,0,0,0,0,0,0,0,2016
Prêmio Destaque do ano - Curso de Ciências Moleculares/USP,Curso de Ciências Moleculares da Universidade de São Paulo,HUM147,Projeto,0,0,0,0,0,0,0,2016
Prêmio Poli Cidadã - 3º Lugar em em Tecnologia e Desenvolvimento Social,Poli Cidadã,ENG060,Projeto,0,0,0,0,0,0,0,2016
Prêmio Poli Cidadã - 2º Lugar em em Tecnologia e Desenvolvimento Social,Poli Cidadã,ENG063,Projeto,0,0,0,0,0,0,0,2016
Prêmio Poli Cidadã - 1º Lugar em em Tecnologia e Desenvolvimento Social,Poli Cidadã,ENG064,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),BIO224,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),SAU141,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),HUM169,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),HUM183,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),HUM184,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG041,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG076,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),ENG077,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA279,Projeto,0,0,0,0,0,0,0,2016
Prêmio Contribuição em Tecnologia Assistiva CNRTA-CTI Renato Archer,Centro Nacional de Referência em Tecnologia Assistiva (CNRTA),EXA277,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Agrárias,FEBRACE,AGR098,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Biológicas,FEBRACE,BIO222,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências da Saúde,FEBRACE,SAU125,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Biológicas,FEBRACE,BIO228,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA262,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA277,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Humanas,FEBRACE,HUM170,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Ciências Sociais Aplicadas,FEBRACE,SOC083,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Engenharia,FEBRACE,ENG069,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Engenharia,FEBRACE,ENG038,Projeto,0,0,0,0,0,0,0,2016
1o. Lugar em Engenharia,FEBRACE,ENG078,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Agrárias,FEBRACE,AGR110,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Biológicas,FEBRACE,BIO200,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Biológicas,FEBRACE,BIO204,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências da Saúde,FEBRACE,SAU113,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA253,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA244,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA254,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Humanas,FEBRACE,HUM186,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Humanas,FEBRACE,HUM190,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Ciências Sociais Aplicadas,FEBRACE,SOC086,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Engenharia,FEBRACE,ENG022,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Engenharia,FEBRACE,ENG001,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Engenharia,FEBRACE,ENG060,Projeto,0,0,0,0,0,0,0,2016
2o. Lugar em Engenharia,FEBRACE,ENG035,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Agrárias,FEBRACE,AGR099,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Biológicas,FEBRACE,BIO207,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Biológicas,FEBRACE,BIO199,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências da Saúde,FEBRACE,SAU120,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências da Saúde,FEBRACE,SAU116,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA287,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA279,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA282,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Humanas,FEBRACE,HUM147,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Humanas,FEBRACE,HUM155,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Humanas,FEBRACE,HUM178,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Ciências Sociais Aplicadas,FEBRACE,SOC085,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Engenharia,FEBRACE,ENG010,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Engenharia,FEBRACE,ENG056,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Engenharia,FEBRACE,ENG071,Projeto,0,0,0,0,0,0,0,2016
3o. Lugar em Engenharia,FEBRACE,ENG068,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Agrárias,FEBRACE,AGR096,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Biológicas,FEBRACE,BIO220,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Biológicas,FEBRACE,BIO223,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Biológicas,FEBRACE,BIO236,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências da Saúde,FEBRACE,SAU111,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências da Saúde,FEBRACE,SAU141,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA269,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA260,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA255,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Exatas e da Terra,FEBRACE,EXA257,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Humanas,FEBRACE,HUM146,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Humanas,FEBRACE,HUM148,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Humanas,FEBRACE,HUM150,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Humanas,FEBRACE,HUM176,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Ciências Sociais Aplicadas,FEBRACE,SOC091,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Engenharia,FEBRACE,ENG064,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Engenharia,FEBRACE,ENG052,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Engenharia,FEBRACE,ENG039,Projeto,0,0,0,0,0,0,0,2016
4o. Lugar em Engenharia,FEBRACE,ENG015,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,EXA262,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,EXA277,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,EXA244,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,SAU125,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,SAU113,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,SAU120,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,ENG069,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,ENG038,Projeto,0,0,0,0,0,0,0,2016
Intel ISEF,FEBRACE,ENG078,Projeto,0,0,0,0,0,0,0,2016
Prêmio Destaque FENECIT ,FENECIT- Feira Nordestina de Ciência e Tecnologia,BIO222,Projeto,0,0,0,0,0,0,0,2016
Prêmio Destaque Mostra de Ciências e Tecnologia da Escola AÇAÍ,Mostra de Ciência e Tecnologia da Escola Açaí,SOC086,Projeto,0,0,0,0,0,0,0,2016
Prêmio Feira de Ciências do Semiárido Potiguar,Feira de Ciências do Semiárido Potiguar,HUM155,Projeto,0,0,0,0,0,0,0,2016
Prêmio Feira de Ciências do Semiárido Potiguar,Feira de Ciências do Semiárido Potiguar,HUM178,Projeto,0,0,0,0,0,0,0,2016
Prêmio FENECIT,FENECIT- Feira Nordestina de Ciência e Tecnologia,AGR110,Projeto,0,0,0,0,0,0,0,2016
Prêmio FENECIT,FENECIT- Feira Nordestina de Ciência e Tecnologia,BIO228,Projeto,0,0,0,0,0,0,0,2016
Prêmio FENECIT,FENECIT- Feira Nordestina de Ciência e Tecnologia,HUM190,Projeto,0,0,0,0,0,0,0,2016
Prêmio FENECIT,FENECIT- Feira Nordestina de Ciência e Tecnologia,ENG035,Projeto,0,0,0,0,0,0,0,2016
Prêmio Genius Olympiad,OSWEGO State University of New York,AGR098,Projeto,0,0,0,0,0,0,0,2016
Prêmio Genius Olympiad,OSWEGO State University of New York,EXA253,Projeto,0,0,0,0,0,0,0,2016
Prêmio I-Sweeep 2017,International Sustainable World Project Olympiad,AGR099,Projeto,0,0,0,0,0,0,0,2016
Prêmio I-Sweeep 2017,International Sustainable World Project Olympiad,ENG060,Projeto,0,0,0,0,0,0,0,2016
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,MOSTRATEC,EXA254,Projeto,0,0,0,0,0,0,0,2016
